row_class,column_class,score,source_canonical_pair,support,dominant_mechanism,main_effect_induction,main_effect_competition,main_effect_gsh,interaction_induction_competition,interaction_induction_gsh,interaction_competition_gsh,interaction_three_way,reconstruction_residual
PAHs,Heterocyclic amines,2.506,PAH_x_HCA,computed,enzyme induction,1.594,-0.2655,0.1775,-0.115,0.177,0.0,-0.0,0.0
PAHs,Arylamines,1.0,,No direct pairwise baseline-risk key in interaction_engine.,,,,,,,,,
PAHs,Aflatoxins,1.0,,not_modeled,,,,,,,,,
PAHs,Nitrosamines,2.674,PAH_x_NDMA,computed,enzyme induction,1.711167,-0.213333,0.176167,-0.142,0.177,0.0,-0.001,0.0
PAHs,Benzene,2.644,PAH_x_benzene,computed,enzyme induction,1.461833,0.084833,0.097333,0.056,0.097,-0.001,0.001,0.0
PAHs,Vinyl chloride,1.0,,not_modeled,,,,,,,,,
PAHs,Alcohol(Acetaldehyde),2.832,PAH_x_acetaldehyde,computed,enzyme induction,1.636,0.0,0.196,0.0,0.196,0.0,-0.0,0.0
PAHs,Formaldehyde,2.88,PAH_x_formaldehyde,computed,enzyme induction,1.6795,0.0,0.2005,0.0,0.201,0.0,0.0,0.0
PAHs,Heavy metals,2.65,PAH_x_cadmium,computed,enzyme induction,1.437,0.0,0.213,0.0,0.172,0.0,0.0,0.0
PAHs,Dioxins/PCBs,1.0,,"Modeled as TCDD/dioxin enzyme induction, not pairwise risk.",,,,,,,,,
PAHs,Chlorinated solvents,1.0,,TCE is not mapped as present carcinogen; vinyl chloride is separate.,,,,,,,,,
PAHs,Estrogens,1.0,,No direct pairwise baseline-risk key in interaction_engine.,,,,,,,,,
PAHs,Aristolochic acid,1.0,,No direct pairwise baseline-risk key in interaction_engine.,,,,,,,,,
Heterocyclic amines,Arylamines,1.0,,No direct pairwise baseline-risk key in interaction_engine.,,,,,,,,,
Heterocyclic amines,Aflatoxins,1.0,,not_modeled,,,,,,,,,
Heterocyclic amines,Nitrosamines,1.677,NNK_x_HCA,computed,enzyme induction,0.864,-0.187,0.0,-0.08,0.0,0.0,0.0,0.0
