carcinogen_class,PAHs,Heterocyclic amines,Arylamines,Aflatoxins,Nitrosamines,Benzene,Vinyl chloride,Alcohol(Acetaldehyde),Formaldehyde,Heavy metals,Dioxins/PCBs,Chlorinated solvents,Estrogens,Aristolochic acid
PAHs,,2.506,1.0,1.0,2.674,2.644,1.0,2.832,2.88,2.65,1.0,1.0,1.0,1.0
Heterocyclic amines,2.506,,1.0,1.0,1.677,1.822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Arylamines,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Aflatoxins,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nitrosamines,2.674,1.677,1.0,1.0,,2.092,1.0,1.842,1.857,1.799,1.0,1.0,1.0,1.0
Benzene,2.644,1.822,1.0,1.0,2.092,,1.0,1.997,2.015,1.94,1.0,1.0,1.0,1.0
Vinyl chloride,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Alcohol(Acetaldehyde),2.832,1.0,1.0,1.0,1.842,1.997,1.0,,1.0,1.078,1.0,1.0,1.0,1.0
Formaldehyde,2.88,1.0,1.0,1.0,1.857,2.015,1.0,1.0,,1.082,1.0,1.0,1.0,1.0
Heavy metals,2.65,1.0,1.0,1.0,1.799,1.94,1.0,1.078,1.082,,1.0,1.0,1.0,1.0
Dioxins/PCBs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Chlorinated solvents,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
Estrogens,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
Aristolochic acid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
